anti,algorithm,section,learning_timesteps,environment,env_seed,policy_seed,noise_seed,buffer_seed,parameter,seed_value,model_name,avg_reward
True,SAC,1,11667,Hopper-v4,111,222,333,444,env,13,SAC_1_11667_Hopper-v4_111_222_333_444_env=13,111.90426753645836
True,SAC,2,11667,Hopper-v4,111,222,333,444,env,15,SAC_2_11667_Hopper-v4_111_222_333_444_env=15,118.67400403713528
True,SAC,3,11667,Hopper-v4,111,222,333,444,env,8,SAC_3_11667_Hopper-v4_111_222_333_444_env=8,122.84563551444045
False,SAC,1,11667,Hopper-v4,111,222,333,444,env,12,SAC_1_11667_Hopper-v4_111_222_333_444_env=12,140.13644190285714
False,SAC,2,11667,Hopper-v4,111,222,333,444,env,15,SAC_2_11667_Hopper-v4_111_222_333_444_env=15,155.9932119760479
False,SAC,3,11667,Hopper-v4,111,222,333,444,env,7,SAC_3_11667_Hopper-v4_111_222_333_444_env=7,162.5483764473684
True,SAC,1,11667,Hopper-v4,111,222,333,444,buffer,1,SAC_1_11667_Hopper-v4_111_222_333_444_buffer=1,108.81674872164947
True,SAC,2,11667,Hopper-v4,111,222,333,444,buffer,9,SAC_2_11667_Hopper-v4_111_222_333_444_buffer=9,113.47603988328912
True,SAC,3,11667,Hopper-v4,111,222,333,444,buffer,6,SAC_3_11667_Hopper-v4_111_222_333_444_buffer=6,118.61123751926606
False,SAC,1,11667,Hopper-v4,111,222,333,444,buffer,7,SAC_1_11667_Hopper-v4_111_222_333_444_buffer=7,131.18209958381502
